,url
19,https://www.amazon.de/-/en/NORTH-FACE-Fleece-Gloves-Olive/dp/B07P869C6Y/ref=sr_1_147?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463201&s=apparel&sr=1-147
28,https://www.amazon.de/-/en/North-Face-Hardface-Gloves-black/dp/B07BB54KW3/ref=sr_1_250?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463205&s=apparel&sr=1-250
36,https://www.amazon.de/-/en/Roeckl-Sportive-Touch-Plain-Gloves/dp/B00LWTFD7I/ref=sr_1_278?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463205&s=apparel&sr=1-278
39,https://www.amazon.de/-/en/Sealskin-Mens-Weather-Gloves-Black/dp/B01GQ0XK36/ref=sr_1_289?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463209&s=apparel&sr=1-289
63,https://www.amazon.de/-/en/1190-00280/dp/B084TK25FS/ref=sr_1_549?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463219&s=apparel&sr=1-549
68,https://www.amazon.de/-/en/Roeckl-Mens-Villach-Gloves-black/dp/B07Q5S8XKV/ref=sr_1_615?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463221&s=apparel&sr=1-615
69,https://www.amazon.de/-/en/Retrieve-Waterproof-Windproof-Shooting-Membrane/dp/B08HVNHCRN/ref=sr_1_616?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463221&s=apparel&sr=1-616
83,https://www.amazon.de/-/en/dp/B09HX3Z319/ref=sr_1_721?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463228&s=apparel&sr=1-721
88,https://www.amazon.de/-/en/North-Face-Womens-Gloves-black/dp/B078WG5XBS/ref=sr_1_763?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463228&s=apparel&sr=1-763
126,https://www.amazon.de/-/en/Anqier-Running-Gloves-Touchscreen-Lightweight/dp/B08CKVHGBB/ref=sr_1_1278?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463249&s=apparel&sr=1-1278
147,https://www.amazon.de/-/en/Insulated-Winter-Touchscreen-Thinsulate-Thermal/dp/B07Z8SLPNK/ref=sr_1_1566?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463261&s=apparel&sr=1-1566
162,https://www.amazon.de/-/en/Icebreaker-Sierra-Gloves-Black-XS/dp/B01GGKOTA4/ref=sr_1_1809?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463270&s=apparel&sr=1-1809
169,https://www.amazon.de/-/en/LEKI-Hiker-Pro-Finger-Gloves/dp/B075136485/ref=sr_1_1919?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463273&s=apparel&sr=1-1919
170,https://www.amazon.de/-/en/North-Face-Etip-Recycled-Glove/dp/B08BDVWGLC/ref=sr_1_1920?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463273&s=apparel&sr=1-1920
200,https://www.amazon.de/-/en/Under-Armour-Liner-Gloves-Mens/dp/B077XMD7XB/ref=sr_1_2315?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463294&s=apparel&sr=1-2315
202,https://www.amazon.de/-/en/Oakley-Mens-Lightweight-2-0-Gloves/dp/B084R9WZHG/ref=sr_1_2319?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463294&s=apparel&sr=1-2319
226,https://www.amazon.de/-/en/Direct-Action-Shooting-Gloves-Coyote/dp/B07DP148LQ/ref=sr_1_2679?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463310&s=apparel&sr=1-2679
256,https://www.amazon.de/-/en/dp/B09HCTGG2R/ref=sr_1_3121?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463333&s=apparel&sr=1-3121
263,https://www.amazon.de/-/en/Thermal-Running-Weather-Driving-Cycling/dp/B07H2V5FLJ/ref=sr_1_3142?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463333&s=apparel&sr=1-3142
264,https://www.amazon.de/-/en/Cevapro-Winter-Gloves-Thermal-Running/dp/B07H9VJXX4/ref=sr_1_3143?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463333&s=apparel&sr=1-3143
282,https://www.amazon.de/-/en/North-Face-Etip-Recycled-Gloves/dp/B083LW115Y/ref=sr_1_3537?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463350&s=apparel&sr=1-3537
325,https://www.amazon.de/-/en/North-Face-Etip-Recycled-Gloves/dp/B08BDNYHXN/ref=sr_1_3878?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463371&s=apparel&sr=1-3878
352,https://www.amazon.de/-/en/arteesol-waterproof-touchscreen-windproof-weather/dp/B08JLSCP6L/ref=sr_1_4224?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463387&s=apparel&sr=1-4224
374,https://www.amazon.de/-/en/Direct-Action-Light-Gloves-black/dp/B07VBZGKCH/ref=sr_1_4566?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463405&s=apparel&sr=1-4566
392,https://www.amazon.de/-/en/s-Oliver-Ladies-Leather-Gloves-201-10-011-30-279-2053930/dp/B08GM7FM5V/ref=sr_1_4848?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463417&s=apparel&sr=1-4848
395,https://www.amazon.de/-/en/dp/B0834N2ZXS/ref=sr_1_4850?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463420&s=apparel&sr=1-4850
422,https://www.amazon.de/-/en/Mammut-Fleece-Unisex-Adult-Gloves/dp/B084TJWBS8/ref=sr_1_5227?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463436&s=apparel&sr=1-5227
438,https://www.amazon.de/-/en/Kailash-02-04058-Roeckl-Polartec-Outdoor-9/dp/B01KYODWU6/ref=sr_1_5295?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463442&s=apparel&sr=1-5295
489,https://www.amazon.de/-/en/Direct-Action-Mens-Gloves-Black/dp/B07DP1CV2J/ref=sr_1_5743?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463465&s=apparel&sr=1-5743
496,https://www.amazon.de/-/en/Manzella-Womens-Gloves-black-Small/dp/B00SBDBN2W/ref=sr_1_5787?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463468&s=apparel&sr=1-5787
512,https://www.amazon.de/-/en/Boyiexin-Polartec-Stretch-Womens-Winter/dp/B07W9GHB55/ref=sr_1_5891?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463474&s=apparel&sr=1-5891
